2026-04-16 14:35:04 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:35:04 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-16 14:35:05 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:35:05 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 14:35:05 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Starting ChannelAccountControllerTest using Java 17.0.11 with PID 25988 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 14:35:05 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - The following 1 profile is active: "dev"
2026-04-16 14:35:17 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Started ChannelAccountControllerTest in 16.588 seconds (process running for 23.83)
2026-04-16 14:35:17 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 14:35:17 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:25 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:25 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-16 14:55:25 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:25 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 14:55:25 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Starting ChannelAccountControllerTest using Java 17.0.11 with PID 9692 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 14:55:25 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - The following 1 profile is active: "dev"
2026-04-16 14:55:28 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Started ChannelAccountControllerTest in 3.429 seconds (process running for 4.511)
2026-04-16 14:55:28 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 14:55:28 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:29 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:29 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:29 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 14:55:29 [main] INFO  c.m.p.w.c.MessageTemplateControllerTest - Starting MessageTemplateControllerTest using Java 17.0.11 with PID 9692 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 14:55:29 [main] INFO  c.m.p.w.c.MessageTemplateControllerTest - The following 1 profile is active: "dev"
2026-04-16 14:55:29 [main] INFO  c.m.p.w.c.MessageTemplateControllerTest - Started MessageTemplateControllerTest in 0.71 seconds (process running for 5.759)
2026-04-16 14:55:29 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:29 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:30 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:30 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:30 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:30 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:30 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:30 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:30 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 14:55:30 [main] INFO  c.m.p.w.c.SendControllerTest - Starting SendControllerTest using Java 17.0.11 with PID 9692 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 14:55:30 [main] INFO  c.m.p.w.c.SendControllerTest - The following 1 profile is active: "dev"
2026-04-16 14:55:30 [main] INFO  c.m.p.w.c.SendControllerTest - Started SendControllerTest in 0.5 seconds (process running for 6.65)
